"title","description","price","images.0.imageUrl","images.0.name","images.1.name","images.1.imageUrl","images.2.name","images.2.imageUrl"
"Fougasse","In French cuisine, fougasse is a type of bread typically associated with Provence but found in other regions. Some versions are sculpted or slashed into a pattern resembling an ear of wheat.","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200710_073810.jpg","IMG_20200710_073810.jpg","IMG_20201021_105935_493.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201021_105935_493.jpg",,
"Japanese Shibari Bread","1kg - Japanese Shibari Bread with Cocoa. The rich Brown bread is Chocolate Bread with intricate basket woven technique that takes a lot of patience and controlled movements.

“Shibari (Japanese Rope Bondage) can be erotic, intimate, loving, sexy, quiet or raucous, meditative, artistic, insightful, transformative—all depending on the people engaged and how they both feel at the moment” – Victoria Blue

""The rope is used to communicate emotions”. Yukimura Haruki","1000","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210201_100858.jpg","IMG_20210201_100858.jpg",,,,
"Hot Cross Buns (4) ","These Easter favorites go by lots of 4, 8, 12. Fruits Soaked in Rum (or without rum available too), and warm Easter Spices of cinnamon. nutmeg, cloves etc. makes a perfect gift for your family on this Easter weekend.","200","https://storage.googleapis.com/annam-9d5da-product-image/Hot-Cross-Buns-8.jpg","Hot-Cross-Buns-8.jpg","a575c040204e1e72095ab38cb7ba4cb1.jpg","https://storage.googleapis.com/annam-9d5da-product-image/a575c040204e1e72095ab38cb7ba4cb1.jpg",,
"Hot Cross Buns (12)","These Easter favorites go by lots of 4, 8, 12. Fruits Soaked in Rum (or without rum available too), and warm Easter Spices of cinnamon. nutmeg, cloves etc. makes a perfect gift for your family on this Easter weekend.","500","https://storage.googleapis.com/annam-9d5da-product-image/a575c040204e1e72095ab38cb7ba4cb1.jpg","a575c040204e1e72095ab38cb7ba4cb1.jpg",,,,
"Franzbrötchen (4)","This German pastry is a cross between a Croissant and Cinnamon Roll. With enriched  flaky dough and cinnamon sugar butter filling, it makes an ideal compliment to your afternoon tea or coffee. Order in boxes of 4 or more.","360","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_105539.jpg","IMG_20201213_105539.jpg","IMG_20201213_105620.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_105620.jpg",,
"Nutella Babka Buns (4)","The same taste as Nutella Babka but made into buns. It's decidedly yummilicious.","360","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201231_090845_226.jpg","IMG_20201231_090845_226.jpg","IMG_20201231_081712.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201231_081712.jpg",,
"Nutella / Chocolate Babka Loaf","These traditional Russian delicacies are filled with grandmother's goodness. With just the righ amount of sweetness to still enjoy the enriched brioche bread. You can try our Savory Pesto Babka as well. ","600","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200609_084333.jpg","IMG_20200609_084333.jpg","IMG_20200808_085537.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200808_085537.jpg","IMG_20200808_085554.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200808_085554.jpg"
"Multigrain Loaf","This freshly baked Multigrain Loaf Bread (500g) is so good that you will stop eating commercial bread. Its made from organic whole-wheat bread flour and 7 other grains and seeds (in Multi-grain). Very nutritious and wholesome. ","200","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_111405.jpg","IMG_20201213_111405.jpg",,,,
"Mexican Conchas (4)","The multicoloured crusted conches - a staple food available in Mexico brings sweet bread to a new level. The very traditional designs on the conches make it as much a work of art as an item of food. Sold in a big box of 4 conchas.","400","https://storage.googleapis.com/annam-9d5da-product-image/20201229_093013_0000.png","20201229_093013_0000.png","IMG_20210404_121323.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210404_121323.jpg",,
"Macha Black Sesame Babka","This is a combination of Japanese Macha paired with sweet black sesame paste layer and intricately braided to create the most tasty and unique bread available.","600","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201207_095928_039.jpg","IMG_20201207_095928_039.jpg","IMG_20201207_081102.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201207_081102.jpg","IMG_20201207_083554.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201207_083554.jpg"
"Laadli Charity Top-up ","Please add Rs 500 to my order to donate to Population First and Laadli Foundation.","500","https://storage.googleapis.com/annam-9d5da-product-image/0001-18820122938_20210325_100609_0000.png","0001-18820122938_20210325_100609_0000.png",,,,
"Sourdough Speciality Bread","These naturally leavened Sourdough Bread (500+gm) is filled with the delicious and very popular fillings like Jalapeno cheese, Cranberry Walnuts, or Olives and Herbs.  ","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_110352.jpg","IMG_20201213_110352.jpg","IMG_20201213_110418.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_110418.jpg",,
"Soft Sourdough Loaf","This is a Sandwich Soft Sourdough Version of a traditional Yeasted loaf bread. It's 500-600 gm size and delicious. Ask our regular customers. 

Image courtesy King Arthur Flour.","300","https://storage.googleapis.com/annam-9d5da-product-image/8969-3-large.jpg","8969-3-large.jpg",,,,
"Skoleboller - Norwegian Custard Buns (4)","Introducing another European favorite - Skoleboller, or the 'School Buns'. The Norwegian variety has a sprinkle of coconut over the sugar glaze. Traditionally it is packed in school lunches or sold in cake shops in Norway, It's great for your afternoon tea/coffee.  Sold in boxes of 4. See alternative with box of 6 as well.","300","https://storage.googleapis.com/annam-9d5da-product-image/0001-18277293386_20210314_185530_0000.png","0001-18277293386_20210314_185530_0000.png",,,,
"Skoleboller - Norwegian Custard Buns (6)","Introducing another European favorite - Skoleboller, or the 'School Buns'. The Norwegian variety has a sprinkle of coconut over the sugar glaze. Traditionally it is packed in school lunches or sold in cake shops in Norway, It's great for your afternoon tea/coffee.  Sold in boxes of 6. See alternative with box of 4 as well.","450","https://storage.googleapis.com/annam-9d5da-product-image/0001-18277293386_20210314_185530_0000.png","0001-18277293386_20210314_185530_0000.png",,,,
"Purple Wheat and Beetroot Sourdough","This ancient and raw purple wheat is full of anti-oxidents and said to prevent many fatal deseases. It's combination with beet roots with thier own healing properties makes it one of the most healthy options from our menu. ","350","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200927_144845_138.jpg","IMG_20200927_144845_138.jpg","IMG_20200925_102339.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200925_102339.jpg",,
"Pumpkin & Cranberry Loaf","This is very special during festive occasions like Thanksgiving and Christmas. It's more moist cakelike than a bread. Topped with sweet Cream cheese topping and cranberries, it's taste will satisfy you for a long time.","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201126_083031.jpg","IMG_20201126_083031.jpg","IMG_20201126_084434.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201126_084434.jpg","IMG_20201126_084425.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201126_084425.jpg"
"Pretzels New York Style","These New York style soft pretzels brings back memories of walking down the street and picking up streetside pretzels with sprinkling of salt. Then stilling down to have it with mustard sauce. Box of 6.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200420_113214_567.jpg","IMG_20200420_113214_567.jpg",,,,
"Pita Bread (8)","Traditional Pita bread - made fresh with pure ingredients and sent to your home. Have with Falafel or Hummus or your own favorite dip or curry. You can add Zataar to your pita as well. mention in the comments section. Box of 8 pitas.","200","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200802_093752.jpg","IMG_20200802_093752.jpg","IMG_20200806_085212.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200806_085212.jpg",,
"Pesto Babka Loaf","These Russian homemade grandmother's goodies are filled with Basil pesto spiced with chillies. Sun dried tomatoes and herbs add to the flavors that fill your kitchen and dining room. ","600","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200812_102053.jpg","IMG_20200812_102053.jpg","IMG_20200505_090830.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200505_090830.jpg",,
"Zopf Bread (Swiss)","This is a large decorated centerpiece for your party. Very soft and buttery taste. ","600","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200611_212512_661.jpg","IMG_20200611_212512_661.jpg",,,,
"Turmeric and Charcoal Sourdough","This is a Dough and Batter speciality - Aptly named ""Mumbai Kalee Peeli"". Naturally leavened Sourdough bread saoked I turmeric and activated Charcoal powder, layered to create patterns..Every customer has enjoyed this unique creation. 500Gm","350","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200604_210255_251.jpg","IMG_20200604_210255_251.jpg","IMG_20200722_183326_178.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200722_183326_178.jpg","IMG_20200425_085503_632.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200425_085503_632.jpg"
"Turkish Pide","Another traditional Turkish bread is the Pide. Fairly large in size, this bread is for the ornamental dinner table.","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201024_080035.jpg","IMG_20201024_080035.jpg","IMG_20201024_080331.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201024_080331.jpg","IMG_20201024_080156.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201024_080156.jpg"
"Sourdough (Traditional)","This naturally leavened bread is made right here in Mumbai without any commercial yeast. The starter is one year old and has been kept alive through refresh every day. The predigested bread is most gut friendly and healthy bread you will find in Mumbai. Sold in 500Gm Boules. ","200","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200519_092218_918.jpg","IMG_20200519_092218_918.jpg","IMG_20201213_110324.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_110324.jpg","IMG_20200806_085040.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200806_085040.jpg"
"Sweet Nut Wreath Bread","This is a ceremonial centerpiece for your party filled with walnuts and spices and.coated with sweet sugar glaze. It's dessert bread that goes with any afternoon or after dinner Coffee. ","1000","https://storage.googleapis.com/annam-9d5da-product-image/20210115_190649_0000.png","20210115_190649_0000.png",,,,
"Stollen","This Christmas tradition from the town of Dresden is Germany, is an alternative for a regular plum cake. Rum soaked fruits with traditional spices of nutmeg, cinnamon, cardamom give it a very flavourful addition to your tea and coffee parties or as a dessert. ","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201225_095755.jpg","IMG_20201225_095755.jpg",,,,
"Dark 100% Rye Bread","This uniquely Scandinavian /German bread is an acquired and addictive taste and for well heeled travelers and foodies. This is made with authentic Rye flour, water and salt and sprinking of caraway seeds and following a traditional recipe. Takes more than 36.hours to make.","700","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210525_170931.jpg","IMG_20210525_170931.jpg",,,,
"Bagels (6)","New York style bagels with add-ons of Garlic, sesame, poppy seeds, Italian herbs etc. Sold in box of 6 or more.","360","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200609_200905_526.jpg","IMG_20200609_200905_526.jpg","IMG_20200621_070927.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200621_070927.jpg",,
"Bombolini - Italian Filled Doughnuts (4)","These absolutely mouth watering fluffy Sourdough doughnuts are filled with lemony pastry cream or without that as well if you so choose. It takes 36 hours to ferment. Sold in boxes of 4. ","320","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210310_181738_025.jpg","IMG_20210310_181738_025.jpg",,,,
"Challah - Non-Veg Stuffed","These stuffed Challah loaves are a meal by themselves. Traditional Challah loaf recipe is combined with spicy shredded chicken filling that is guaranteed conversation starter.","750","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201122_093401.jpg","IMG_20201122_093401.jpg","IMG_20201122_093329.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201122_093329.jpg","IMG_20201122_070450.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201122_070450.jpg"
"Georgian Khachapuri","This very traditional and authentic Georgian village bread is appreciated by all Slavic and Russian communities in Mumbai. To be had warm so only delivered to 3km radius from Haji Ali. This product has eggs and cheese. ","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201121_111757_284.jpg","IMG_20201121_111757_284.jpg","IMG_20201121_094521.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201121_094521.jpg",,
"Hot Cross Buns (8)","These Easter favorites go by lots of 4, 8, 12. Fruits Soaked in Rum (or without rum available too), and warm Easter Spices of cinnamon. nutmeg, cloves etc. makes a perfect gift for your family on this Easter weekend.","500","https://storage.googleapis.com/annam-9d5da-product-image/Hot-Cross-Buns-8.jpg","Hot-Cross-Buns-8.jpg","a575c040204e1e72095ab38cb7ba4cb1.jpg","https://storage.googleapis.com/annam-9d5da-product-image/a575c040204e1e72095ab38cb7ba4cb1.jpg",,
"Rugelach with Pecan & Raisin (6)","This traditional Jewish pastry is available nin most cafes and Bakeries of Israel. Filled with the goodness of Pecans and raisins, you cannot stop at one. Pack of 6.","360","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201218_210022_233.jpg","IMG_20201218_210022_233.jpg",,,,
"Turkish Simit (4)","This traditional Turkish street food is found everywhere in the streets of Istanbul. The.most authentic taste has many customers in Mumbai.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200528_103646.jpg","IMG_20200528_103646.jpg",,,,
"Chocolate Chip Cookies","These delicious soft chocolate chip cookies are absolutely delectable and finishes in one afternoon of snacking. You got to have it to believe. Comes in packets of 6 cookies.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200809_094221.jpg","IMG_20200809_094221.jpg","IMG_20200810_084252_455.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200810_084252_455.jpg",,
"Pane Bianco","This bread is a tasty loaf filled with fresh basil, tomatoes, garlic, and shredded cheese; the bread has wonderful soft texture, and is packed with flavor. The unique shape makes an impressive presentation.
","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200821_105551.jpg","IMG_20200821_105551.jpg",,,,
"Pesto Babka Buns (4)","This is the same Pesto Savory Babka made into individual portions and served in boxes of 4.","360","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201202_101202.jpg","IMG_20201202_101202.jpg",,,,
"Dark Rye Norlander","Uniquely Scandinavian and German taste for this Rye bread with Rye grains. ","600","https://storage.googleapis.com/annam-9d5da-product-image/NORDLNDER-5kgBag-Prod170-5-0707201119171.png","NORDLNDER-5kgBag-Prod170-5-0707201119171.png","NORDLNDER-5kgBag-Prod170-7-0707201119171.png","https://storage.googleapis.com/annam-9d5da-product-image/NORDLNDER-5kgBag-Prod170-7-0707201119171.png",,
"Raksha Bandhan ₹1200","Gift a  Chocolate Rope bread along with a beautiful Rakhi and 4 Muffins
Or a Cinnamon Star Bread with 4 Muffins and Rakhi","1200","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210815_152401_340.jpg","IMG_20210815_152401_340.jpg","IMG_20210815_152402_264.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210815_152402_264.jpg",,
"Raksha Bandhan 800","Give a beautiful hamper filled with alternative and unique sweet breads from Europe.","800","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210815_152402_517.jpg","IMG_20210815_152402_517.jpg","IMG_20210815_152402_542.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210815_152402_542.jpg",,
"Baguettes (2)","These crusty 15"" Long baguettes can be made regular or with sourdough. ","250","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200514_095443_671.jpg","IMG_20200514_095443_671.jpg","IMG_20200628_125310_379.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200628_125310_379.jpg",,
"Korovai - Ukrainian Wedding Bread","This is the most beautiful and intricately decorated bread which is completely edible. Each and every item has cultural significance and was made by the family of the bride. ","1000","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210830_094614_828.jpg","IMG_20210830_094614_828.jpg","IMG_20210830_091949.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210830_091949.jpg",,
"Cinnamon Rolls (4)","The award winning recipe for the perfectly pillowly cinnamon rolls is right everytime and has repeatedly ordered by the customers.","320","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210603_133029_927.jpg","IMG_20210603_133029_927.jpg","Screenshot_20210703-170400.jpg","https://storage.googleapis.com/annam-9d5da-product-image/Screenshot_20210703-170400.jpg",,
"Cake 1kg","Cake 1kg Vanilla, Chocolate or Red velvet cake made with choicest ingredients and topped with Chef Aishani's delicious butter cream icing and exquisite decorations. Please call 7304572738 for anything particular required on the cake","1000","https://storage.googleapis.com/annam-9d5da-product-image/cake.jpg","cake.jpg","IMG_20200815_200511_189.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200815_200511_189.jpg","IMG_20201028_125541.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201028_125541.jpg"
"Cake Half Kg","Half Kg Vanilla, Chocolate or Red velvet cake made with choicest ingredients and topped with Chef Aishani's delicious butter cream icing and exquisite decorations. Please call 7304572738 for anything particular required on the cake.","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200621_220427.jpg","IMG_20200621_220427.jpg","IMG_20200706_111925.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200706_111925.jpg","IMG_20201027_142834.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201027_142834.jpg"
"Cupcakes Mini Bite-Size","The most delicious small bite sized cupcakes sold in a box of 12.","360","https://storage.googleapis.com/annam-9d5da-product-image/Cupcake 3.jpg","Cupcake 3.jpg","IMG_20200912_130219.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200912_130219.jpg","IMG_20200809_094318.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200809_094318.jpg"
"Cupcakes - Large","Chef Aishani's Cupcakes are a roaring success. These unique artistic creations have delighted hundreds of customers. The rich butter cream icing is not only delicious, it a canvas for cake art for the chef. It melts in the mouth. This comes in Vanilla, Chocolate and Red Velvet flavours and colours to match your taste. ","300","https://storage.googleapis.com/annam-9d5da-product-image/cupcakes.jpg","cupcakes.jpg","IMG_20200414_110812.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200414_110812.jpg","IMG_20200415_084520_358.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200415_084520_358.jpg"
"Muffin Festival (6)","Limited time and quantity offer 33% off on all Muffins Blueberry, chocolate chip or Banana Walnut or mixed.
Delivery extra.","300","https://storage.googleapis.com/annam-9d5da-product-image/banana-muffins-3sq-500x375.jpg","banana-muffins-3sq-500x375.jpg","1568040661674.jpeg","https://storage.googleapis.com/annam-9d5da-product-image/1568040661674.jpeg","chocolate-chip-muffins-4-copy.jpg","https://storage.googleapis.com/annam-9d5da-product-image/chocolate-chip-muffins-4-copy.jpg"
"Pan e Malabar (8)","This a Dough and Batter special integrated and baked Vadaa Pav. Comes in box of 8. Brioche Dough envelops the traditional Mumbai Vadaa filling with spicy chutney coatings. ","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200913_101313_564.jpg","IMG_20200913_101313_564.jpg","IMG_20200913_091930.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200913_091930.jpg",,
"Pan de Mallorca (4)","This Puerto Rican speciality is a favorite in then Islands. It's made with naturally leavened sweet enriched dough with lemon peel and vanilla extracts and served with powdered sugar. Comes in pack of two large bun rolls. ","400","https://storage.googleapis.com/annam-9d5da-product-image/pan-de-mallorca-photo.jpg","pan-de-mallorca-photo.jpg",,,,
"Pan de Coco","That dense little bread is one of the most wonderful things you can eat when you visit Honduras. Pan de Coco is a classic bread that can be found in most households, on the streets, and in the markets in Honduras. ","400","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200726_094917_927.jpg","IMG_20200726_094917_927.jpg",,,,
"Korean Cream Cheese Garlic Buns (2)","These are a 'Dough and Batter' speciality and only available through us in Mumbai. Having made 1000s of buns in last 12 months, the popularity is demonstrated. It's a huge bun, filled with sweet creme cheese and baked with garlic butter sauce. Absolutely delicious. It's a popular street food in South Korea loved in Mumbai.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200918_090111.jpg","IMG_20200918_090111.jpg","IMG_20200928_090629.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200928_090629.jpg","IMG_20200906_114749_865.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200906_114749_865.jpg"
"Sourdough Polish Rye Bread","This is native to the city of Krakow in Poland however the general Rye bread is popular all over Eastern Europe and Germany. 3 day process ensures a true authentic taste. It has 50% Rye flour and made with 2 day old Rye starter. ","400","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20211004_120709_660.jpg","IMG_20211004_120709_660.jpg","IMG_20211004_091412.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20211004_091412.jpg",,
"Obwazanek Krakowski (Polish Bagels) 4","Absolutely unique to the city of Krakow is Poland and marketed as a Geo indicator of the city, The Obwazanek is essentially a parboiled Bagel with crusty exterior and soft chewy crumbs. It has poppy seeds, sesame, brownsugar or salt toppings. ","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20211004_120709_639.jpg","IMG_20211004_120709_639.jpg","IMG_20211004_091052.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20211004_091052.jpg",,
"Cebularz Lubelski - Polish Flatbread (4)","Unique & culturally distinct item from Lublin in Poland, is the Cebularz Lubelski. It's a savory bread had throughout the day and made by only 24 bakeries in Poland. Now in Mumbai. This is topped with diced and caramelized onions and black poppy seeds. It is eggless bread here at Dough&Batter","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210917_084153_283.jpg","IMG_20210917_084153_283.jpg","5_20211004_103748_0004.png","https://storage.googleapis.com/annam-9d5da-product-image/5_20211004_103748_0004.png","IMG_20211004_094731.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20211004_094731.jpg"
"Foccacia Genovese","This is a special Foccacia that originated in the Italian town of Genoa. It's thinner and crispier than the ususal Foccacia that is available in shops. It's authentic and delicious. Available is 0.5kg portion.","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200609_113247_205.jpg","IMG_20200609_113247_205.jpg","IMG_20200608_094420.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200608_094420.jpg",,
"German Rye Bread (50% Rye)","Traditional German Rye Bread made with authentic methods. Savour your own Bavaria in Mumbai. It's a 500gm country Loaf. 
","400","https://storage.googleapis.com/annam-9d5da-product-image/Bauernbrot-German-Farmers-Bread-7370.21.jpg","Bauernbrot-German-Farmers-Bread-7370.21.jpg","IMG_20210925_123612.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210925_123612.jpg",,
"Kolache Pastry Buns (4)","Kolaches are Czech breakfast pastries made of a yeast dough and usually filled with fruit, but sometimes cheese. The ultra-traditional flavors — such as poppy seed, apricot, prune and a sweet-but-simple farmer's cheese — can be traced back to the pastry's Eastern European origin. This is surprisingly very popular in Texas and other parts of US where Czech immigrants have settled in. The sweet Creamcheese and fruit toppings will melt your heart.","400","https://storage.googleapis.com/annam-9d5da-product-image/finished-photo.jpg","finished-photo.jpg",,,,
